Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
ORIC Pharmaceuticals,ORIC,J.P. Morgan/ Citigroup/ Jefferies/ Guggenheim Securities,4-24-20,$16.00,$25.77,$26.00,61.06%
Social Capital Hedosophia Holdings Corp. II,IPOB.U,Credit Suisse,4-28-20,$10.00,$10.12,$10.15,1.20%
Fortress Value Acquisition (FVAC.U) (u),FVAC.U,Deutsche Bank Securities,4-30-20,$10.00,$10.06,$10.05,0.60%
Collective Growth,CGROU,Cantor,5-1-20,$10.00,$9.96,$10.00,-0.40%
Lyra Therapeutics,LYRA,BofA Securities/ Jefferies/ William Blair,5-1-20,$16.00,$18.56,$21.00,16.00%
Roth CH Acquisition,ROCHU,Roth Capital Partners/ Craig-Hallum Capital Group,5-5-20,$10.00,$9.94,$9.95,-0.60%
Live Oak Acquisition,LOAK.U,Jefferies,5-6-20,$10.00,$9.88,$10.00,-1.20%
Sustainable Opportunities Acquisition,SOAC.U,Citigroup,5-6-20,$10.00,$9.93,$9.90,-0.70%
Ayala Pharmaceuticals,AYLA,Citigroup/ Jefferies,5-8-20,$15.00,$15.03,$15.66,0.20%
China Liberal Education Holdings (CLEU),CLEU,Boustead Securities,5-8-20,$6.00,$4.85,$5.00,-19.17%
Kingsoft Cloud Holdings,KC,J.P. Morgan/ UBS Investment Bank/ Credit Suisse/ CICC,5-8-20,$17.00,$23.84,$20.37,40.24%
GigCapital3,GIK.U,Nomura/ Oppenheimer,5-14-20,$10.00,$9.91,$9.90,-0.90%
Jaws Acquisition,JWS.U,Credit Suisse,5-14-20,$10.00,$10.25,$10.00,2.50%
ADC Therapeutics America SA,ADCI,Morgan Stanley/ BofA Securities/ Cowen and Company,5-15-20,$19.00,$29.65,$30.00,56.05%
Novus Capital,NOVSU,EarlyBirdCapital,5-15-20,$10.00,$9.95,$9.97,-0.50%
B. Riley Principal Merger,BMRG.U,B. Riley FBR,5-20-20,$10.00,$10.00,$10.00,0.00%
Longview Acquisition,LGVW.U,Cowen/ UBS Investment Bank,5-21-20,$10.00,$10.00,$10.00,0.00%
SelectQuote,SLQT,Credit Suisse/ Morgan Stanley/ Evercore ISI/ RBC Capital Markets/ Barclays/ Citigroup/ Jefferies,5-21-20,$20.00,$27.00,$26.20,35.00%
Inari Medical,NRAI,BofA Securities/Morgan Stanley,5-22-20,$19.00,$42.51,$41.30,123.74%
Foley Trasimene Acquisition,WPF.U,Credit Suisse/ BofA Securities,5-27-20,$10.00,$10.18,$10.15,1.80%
Pliant Therapeutics,PLRX,Citigroup/ Cowen/ Piper Sandler,6-3-20,$16.00,$21.30,$25.00,33.13%
Warner Music Group,WMG,Morgan Stanley/ Credit Suisse/ Goldman Sachs,6-3-20,$25.00,$30.12,$27.00,20.48%
ZoomInfo Technologies,ZI,J.P. Morgan/ Morgan Stanley/ Barclays/ Credit Suisse/ BofA Securities/ Deutsche Bank Securities/ RBC Capital Markets/ UBS Investment Ban/ Wells Fargo Securities,6-4-20,$21.00,$34.00,$40.00,61.90%
Applied Molecular Transport (AMTI),AMTI,BofA Securities/Jefferies/ SVB Leerink,6-5-20,$14.00,$17.98,$26.00,28.43%
ARYA Sciences Acquisition Corp II,ARYBU,Jefferies/ Goldman Sachs,6-5-20,$10.00,$10.79,$10.60,7.90%
Dada Nexus Limited,DADA,Goldman Sachs (Asia)/ BofA Securities/ Jefferies,6-5-20,$16.00,$15.99,$18.30,-0.06%
Legend Biotech,LEGN,Morgan Stanley/ J.P. Morgan Securities/ Jefferies,6-5-20,$23.00,$37.00,$37.00,60.87%
Mountain Crest Acquisition,MCACU,Chardan,6-5-20,$10.00,$10.04,$10.05,0.40%
Shift4 Payments,FOUR,Citigroup/ Credit Suisse/ Goldman Sachs,6-5-20,$23.00,$33.54,$33.00,45.83%
Hudson Executive Investment,HECCU,Citigroup/ J.P. Morgan,6-9-20,$10.00,$10.25,$10.19,2.50%
Vroom,VRM,Goldman Sachs/ BofA Securities/ Allen & Company/ Wells Fargo Securities,6-9-20,$22.00,$47.90,$40.25,117.73%
uCloudlink Group,UCL,I-Bankers Securities/ Valuable Capital Limited,6-10-20,$18.00,$17.24,$22.50,-4.22%
Lantern Pharma,LTRN,ThinkEquity (a division of Fordham Financial Management),6-11-20,$15.00,$14.95,$14.80,-0.33%
Avidity Biosciences,RNA,Cowen/ SVB Leerink/ Credit Suisse/ Wells Fargo Securities,6-12-20,$18.00,$28.50,$26.50,58.33%
AZEK Company (The),AZEK,Barclays/ BofA Securities/ Goldman Sachs/ Jefferies,6-12-20,$23.00,$27.15,$27.50,18.04%
Burning Rock Biotech Ltd.,BNR,Morgan Stanley/ BofA Securities/ Cowen,6-12-20,$16.50,$24.63,$22.80,49.27%
Generation Bio,GBIO,J.P. Morgan/ Jefferies/ Cowen,6-12-20,$19.00,$24.69,$22.15,29.95%
Vaxcyte,PCVX,BofA Securities/ Jefferies/ Evercore ISI,6-12-20,$16.00,$26.15,$20.80,63.44%
Royalty Pharma plc,RPRX,J.P. Morgan/ Morgan Stanley/ BofA Securities/ Goldman Sachs/ Citigroup/ UBS Investment Bank,6-16-20,$28.00,$44.50,$44.00,58.93%
Trebia Acquisition,TRE.U,Credit Suisse/ BofA Securities,6-17-20,$10.00,$10.34,$10.46,3.40%
Forma Therapeutics Holdings,FMTX,Jefferies/ SVB Leerink/ Credit Suisse,6-19-20,$20.00,$39.00,$40.00,95.00%
Genetron Holdings,GTH,Credit Suisse/ CICC,6-19-20,$16.00,$16.00,$16.15,0.00%
Progenity,PROG,Piper Sandler/ Wells Fargo Securities,6-19-20,$15.00,$13.12,$15.11,-12.53%
Repare Therapeutics,RPTX,Morgan Stanley/ Goldman Sachs/ Cowen/ Piper Sandler,6-19-20,$20.00,$30.80,$32.05,54.00%
Brilliant Acquisition,BRLIU,EarlyBirdCapital,6-24-20,$10.00,$10.50,$10.01,5.00%
Agora,API,Morgan Stanley/ BofA Securities,6-26-20,$20.00,$50.50,$45.00,152.50%
Akouos,AKUS,BofA Securities/ Cowen/ Piper Sandler,6-26-20,$17.00,$22.00,$22.26,29.41%
Albertsons Companies,ACI,BofA Securities/ Goldman Sachs/J.P. Morgan/ Citigroup,6-26-20,$16.00,$15.45,$15.50,-3.44%
Ebang International Holdings,EBON,AMTD/ Loop Capital Markets,6-26-20,$5.23,$5.00,$4.60,-4.40%
Fusion Acquisition,FUSE.U,Cantor,6-26-20,$10.00,$10.16,$10.25,1.60%
Fusion Pharmaceuticals,FUSN,Morgan Stanley/ Jefferies/ Cowen,6-26-20,$17.00,$17.00,$18.50,0.00%
Kensington Capital Acquisition,KCAC.U,UBS Investment Bank/ Stifel,6-26-20,$10.00,$10.05,$10.05,0.50%
PolyPid,PYPD,Barclays/ BMO Capital Markets,6-26-20,$16.00,$19.00,$16.00,18.75%
GS Acquisition Holdings Corp II,GSAH.U,Goldman Sachs/ Citigroup,6-30-20,$10.00,$10.51,$10.40,5.10%
Dun & Bradstreet Holdings,DNB,Goldman Sachs/ BofA Securities,7-1-20,$22.00,$25.35,$25.00,15.23%
Panacea Acquisition,PANA.U,Cowen,7-1-20,$10.00,$11.30,$10.85,13.00%
Accolade,ACCD,Goldman Sachs/ Morgan Stanley/ BofA Securities,7-2-20,$22.00,$29.70,$35.00,35.00%
Capstar Special Purpose Acquisition,CPSR.U,Citigroup/ UBS Investment Bank/ BTIG,7-2-20,$10.00,$10.22,$10.16,2.20%
Lemonade,LMND,Goldman Sachs/ Morgan Stanley/ Allen & Company/ Barclays Capital,7-2-20,$29.00,$69.41,$50.06,139.34%
BlueCity Holdings,BLCT,AMTD/ Loop Capital Markets/ Tiger Brokers/ Prime Number Capital/ R. F. Lafferty,7-8-20,$16.00,$23.43,$20.45,46.44%
Therapeutics Acquisition,TXAC,Jefferies,7-8-20,$10.00,$12.02,$11.25,20.20%
Nkarta,NKTX,Cowen/ Evercore ISI/ Stifel/ Mizuho Securities,7-10-20,$18.00,$47.99,$54.75,166.61%
Poseida Therapeutics,PSTX,BofA Securities/ Piper Sandler/ William Blair,7-10-20,$16.00,$15.35,$17.00,-4.06%
Quhuo Limited,QH,Roth Capital Partners/ VALUABLE CAPITAL LIMITED/ Tiger Brokers,7-10-20,$10.00,$12.77,$15.31,27.70%
PTK Acquisition,PTK.U,Chardan,7-13-20,$10.00,$10.11,$10.03,1.10%
Artius Acquisition,AACQU,Credit Suisse/ Goldman Sachs,7-14-20,$10.00,$10.35,$10.42,3.50%
nCino,NCNO,BofA Securities/ Barclays Capital/ KeyBanc Capital Markets/ SunTrust Robinson Humphrey,7-14-20,$31.00,$91.59,$71.00,195.45%
D8 Holdings,DEH.U,UBS Investment Bank,7-15-20,$10.00,$10.03,$10.05,0.30%
GoHealth,GOCO,Goldman Sachs/ BofA Securities/ Morgan Stanley,7-15-20,$21.00,$19.13,$25.00,-8.90%
Malacca Straits Acquisition (MLACU ) (u),MLCU,BTIG,7-15-20,$10.00,$10.04,$10.10,0.40%
HPX Corp.,HPX.U,Credit Suisse,7-16-20,$10.00,$10.17,$10.20,1.70%
Relay Therapeutics,RLAY,J.P. Morgan/ Goldman Sachs/ Cowen/ Guggenheim Securities,7-16-20,$20.00,$35.05,$35.00,75.25%
Trean Insurance Group,TIG,J.P. Morgan/ Evercore ISI/ William Blair,7-16-20,$15.00,$15.51,$17.05,3.40%
ALX Oncology Holdings,ALXO,Jefferies/ Credit Suisse/ Piper Sandler/ Cantor,7-17-20,$18.00,$30.00,$36.50,66.67%
Berkeley Lights,BLI,J.P. Morgan/ Morgan Stanley/ Cowen,7-17-20,$22.00,$65.45,$51.03,197.50%
Deerfield Healthcare Technology Acquisitions,DFHTU,Deutsche Bank Securities/ UBS Investment Bank,7-17-20,$10.00,$10.63,$10.51,6.30%
Pandion Therapeutics Holdco,PAND,Goldman Sachs/ Morgan Stanley/ SVB Leerink/ BMO Capital Markets,7-17-20,$18.00,$18.10,$27.00,0.56%
Jamf Holding,JAMF,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays,7-22-20,$26.00,$39.20,$46.00,50.77%
Pershing Square Tontine Holdings,PTH.U,Citigroup/ Jefferies/ UBS Investment Bank,7-22-20,$20.00,$21.30,$21.15,6.50%
Property Solutions Acquisition,PSACU,EarlyBirdCapital,7-22-20,$10.00,$10.03,$10.04,0.30%
East Resources Acquisition,ERESU,Wells Fargo Securities,7-23-20,$10.00,$10.00,$9.96,0.00%
Montrose Environmental Group,MEG,BofA Securities/ William Blair,7-23-20,$15.00,$22.00,$16.50,46.67%
Skillful Craftsman Education Technology,EDTK,"The Benchmark Company/ Axiom Capital Management,",7-23-20,$5.00,$4.75,$5.35,-5.00%
Annexon,ANNX,J.P. Morgan/ BofA Securities/ Cowen,7-24-20,$17.00,$17.76,$17.40,4.47%
Ascendant Digital Acquisition,ACND.U,UBS Investment Bank,7-24-20,$10.00,$10.31,$10.30,3.10%
Greencity Acquisition,GRCYU,Ladenburg Thalmann,7-24-20,$10.00,$10.00,$9.95,0.00%
Inozyme Pharma,INZY,BofA Securities/ Cowen/ Piper Sandler,7-24-20,$18.00,$17.54,$20.80,-2.56%
iTeos Therapeutics,ITOS,J.P. Morgan/ SVB Leerink/ Piper Sandler,7-24-20,$19.00,$19.05,$25.55,0.26%
Nurix Therapeutics,NRIX,J.P. Morgan/ Piper Sandler/ Stifel,7-24-20,$19.00,$19.01,$18.06,0.05%
ACE Convergence Acquisition,ACEVU,Cantor,7-28-20,$10.00,$10.24,$10.20,2.40%
Vertex,VERX,Goldman Sachs/ Morgan Stanley,7-29-20,$19.00,$23.93,$25.56,25.95%
AlloVir,ALVR,Morgan Stanley/ J.P. Morgan/ SVB Leerink/ Piper Sandler,7-30-20,$17.00,$25.39,$20.00,49.35%
Churchill Capital Corp IV,CCIV.U,Citigroup,7-30-20,$10.00,$10.00,$10.06,0.00%
Li Auto,LI,Goldman Sachs (Asia)/ Morgan Stanley/ UBS Investment Bank/ CICC,7-30-20,$11.50,$16.46,$15.50,43.13%
1847 Goedeker,GOED,ThinkEquity (a division of Fordham Financial Management),7-31-20,$9.00,$8.90,$9.40,-1.11%
NewHold Investment,NHICU,Stifel,7-31-20,$10.00,$9.91,$9.92,-0.90%
E.Merge Technology Acquisition,ETACU,Cantor/ Mizuho Securities,7-31-20,$10.00,$10.00,$10.05,0.00%
Fathom Holdings,FTHM,Roth Capital Partners,7-31-20,$10.00,$10.03,$11.50,0.30%
CC Neuberger Principal Holdings II,PRPB.U,Credit Suisse. Citigroup/ Morgan Stanley,7-31-20,$10.00,$10.07,$10.15,0.70%
Vasta Platform Limited,VSTA,Goldman Sachs/BofA Securities/ Morgan Stanley/ Itau BBA,7-31-20,$19.00,$18.85,$22.10,-0.79%
Vital Farms,VITL,Goldman Sachs/ Morgan Stanley/ Credit Suisse,7-31-20,$22.00,$35.26,$35.00,60.27%
Health Sciences Acquisitions Corp 2,HSAQ,Chardan/ Barclays,8-4-20,$10.00,$11.40,$11.41,14.00%
Yucaipa Acquisition,"YAC,U",Citigroup,8-4-20,$10.00,$10.01,$10.02,0.10%
BigCommerce Holdings,BIGC,Morgan Stanley/ Barclays/ Jefferies/ KeyBanc Capital Markets,8-5-20,$24.00,$72.27,$68.00,201.13%
Rackspace Technology,RXT,Goldman Sachs/ Citigroup/ JPMorgan,8-5-20,$21.00,$16.39,$16.85,-21.95%
GO Acquisition,GOAC.U,Credit Suisse,8-5-20,$10.00,$10.00,$10.00,0.00%
BowX Acquisition,BOWXU,UBS Investment Bank,8-5-20,$10.00,$10.03,$10.02,0.30%
Holicity,HOLUU,Deutsche Bank Securities/ BofA Securities,8-5-20,$10.00,$10.01,$10.01,0.10%
Gores Holdings V,GRSVU,Deutsche Bank Securities/ Morgan Stanley,8-6-20,$10.00,$10.08,$10.06,0.80%
Kismet Acquisition One,KSMTU,Credit Suisse/ BofA Securities,8-6-20,$10.00,$9.98,$10.00,-0.20%
Acutus Medical,AFIB,J.P. Morgan/ BofA Securities/ William Blair,8-6-20,$18.00,$26.50,$24.11,47.22%
Oak Street Health,OSH,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,8-6-20,$21.00,$40.00,$42.50,90.48%
Rocket Companies,RKT,Goldman Sachs/ Morgan Stanley/ Credit Suisse/ J.P. Morgan RBC Capital Markets,8-6-20,$18.00,$21.51,$18.00,19.50%
ARYA Sciences Acquisition Corp III,ARYA,Jefferies/ Goldman Sachs,8-7-20,$10.00,$10.44,$10.50,4.40%
Checkmate Pharmaceuticals,CMPI,BofA Securities/ Jefferies/ BMO Capital Markets,8-7-20,$15.00,$14.00,$14.50,-6.67%
Freeline Therapeutics Holdings plc,FRLN,J.P. Morgan/ Morgan Stanley/ Evercore ISI,8-7-20,$18.00,$18.00,$18.50,0.00%
IBEX Ltd.,IBEX,Citigroup/ RBC Capital Markets/ Baird,8-7-20,$19.00,$15.40,$18.00,-18.95%
Vistas Media Acquisition,VMACU,I-Bankers Securities,8-7-20,$10.00,$9.95,$9.95,-0.50%
Fortress Value Acquisition Corp. II (FAII.U) (u),FAII.U,Deutsche Bank Securities/ Morgan Stanley/ BofA Securities,8-12-20,$10.00,$10.17,$10.12,1.70%
Kubient,KBNT/KBnth,Maxim Group/ Joseph Gunnar,8-12-20,$5.00,$5.07,$5.00,1.40%
FS Development,FSDC,Jefferies,8-13-20,$10.00,$10.30,$10.25,3.00%
KE Holdings,BEKE,Goldman Sachs/ Morgan Stanley/ China Renaissance,8-13-20,$20.00,$37.44,$35.06,87.20%
NetSTREIT Corp.,NTST,Wells Fargo Securities/ BofA Securities/ Citigroup/ Stifel/ Jefferies,8-13-20,$18.00,$17.70,$18.00,-1.67%
RedBall Acquisition,RBAC.U,Goldman Sachs,8-14-20,$10.00,$10.16,$10.25,1.60%
CureVac N.V.,CVAC,BofA Securities/ Jefferies/ Credit Suisse,8-14-20,$16.00,$55.90,$44.00,249.38%
dMY Technology Group,DYM.U,UBS Investment Bank,8-14-20,$10.00,$10.10,$10.05,1.00%
Dragoneer Growth Opportunities,DGNR.U,Citigroup/ Goldman Sachs/ J.P. Morgan,8-14-20,$10.00,$10.68,$10.60,6.80%
Duck Creek Technologies,DCT,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays/ RBC Capital Markets,8-14-20,$27.00,$40.00,$42.00,48.15%
Lionheart Acquisition Corp. II,LCAPU,Nomura/ Cantor,8-14-20,$10.00,$9.97,$9.99,-0.30%
Northern Genesis Acquisition,NGA.U,Raymond James/ EarlyBirdCapita,8-18-20,$10.00,$10.00,$10.00,0.00%
one,AONE.U,Goldman Sachs,8-18-20,$10.00,$10.10,$10.15,1.00%
Star Peak Energy Transition,STPK.U,Credit Suisse/ Goldman Sachs,8-18-20,$10.00,$10.00,$10.01,0.00%
Harmony Biosciences Holdings,HRMY,Goldman Sachs/ Jefferies/ Piper Sandle,8-19-20,$24.00,$37.01,$39.99,54.21%
Inhibrx,IBNX,Jefferies/ Evercore ISI/ Credit Suisse,8-19-20,$17.00,$20.63,$22.10,21.35%
Colonnade Acquisition,CLA.U,BTIG,8-21-20,$10.00,$9.92,$9.95,-0.80%
FAST Acquisition,FST.U,Citigroup/ UBS Investment Bank,8-21-20,$10.00,$9.93,$9.96,-0.70%
Foley Trasimene Acquisition II,BFT.U,Credit Suisse/ BofA Securities,8-21-20,$10.00,$10.00,$10.01,0.00%
Forum Merger III .,FIII.U,Jefferies,8-21-20,$10.00,$10.00,$10.00,0.00%
Horizon Acquisition,HZAC.U,Credit Suisse,8-21-20,$10.00,$10.00,$10.00,0.00%
Kymera Therapeutics,KYMR,Morgan Stanley/ BofA Securities/ Cowen/ Guggenheim Securities,8-21-20,$20.00,$33.26,$35.00,66.30%
Nano-X Imaging,NNOX,Cantor/ Oppenheimer/ Berenberg/ CIBC Capital Markets,8-21-20,$18.00,$21.70,$20.34,20.56%
FTAC Olympus Acquisition,FTOCU,Citigroup/ Cantor,8-26-20,$10.00,$9.93,$9.93,-0.70%
Burgundy Technology Acquisition,BTAQU,Mizuho Securities,8-27-20,$10.00,$9.98,$10.00,-0.20%
CF Finance Acquisition Corp II (CFIIU) (u),CFIIU,Cantor,8-27-20,$10.00,$9.94,$10.00,-0.60%
XPeng,XPEV,Credit Suisse/ J.P. Morgan/ BofA Securities,8-27-20,$15.00,$21.22,$23.10,41.47%
Harbor Custom Development,HCDI,ThinkEquity (a division of Fordham Financial Management),8-28-20,$6.00,$7.50,$5.50,25.00%
Applied UV,AUVI,"Network 1 Financial Securities,",8-31-20,$5.00,$11.60,$5.75,132.00%
PainReform,PRFX,Maxim Group/ Joseph Gunnar,9-1-20,$8.00,$6.74,$7.75,-15.75%
CM Life Sciences,CNLFU,Jefferies,9-2-20,$10.00,$10.25,$10.07,2.50%
INSU Acquisition Corp. II,INAQU,Cantor,9-2-20,$10.00,$10.26,$10.20,2.60%
BCTG Acquisition,BCTG,SVB Leerink,9-3-20,$10.00,$10.28,$9.85,2.80%
HighCape Capital Acquisition,CAPAU,Cantor,9-2-20,$10.00,$10.15,$10.11,1.50%
Tailwind Acquisition,TWND.U,Jefferies,9-2-20,$10.00,$10.00,$10.00,0.00%
Cohn Robbins Holdings,CRHCU,Credit Suisse,9-9-20,$10.00,$10.01,$10.10,0.10%
Industrial Tech Acquisitions,ITACU,Maxim Group,9-9-20,$10.00,$9.97,$9.92,-0.30%
NavSight Holdings,NSH.U,Credit Suisse,9-10-20,$10.00,$10.00,$10.00,0.00%
Prime Impact Acquisition I,PIAI.U,Goldman Sachs/ BofA Securities,9-10-20,$10.00,$10.00,$10.00,0.00%
Starboard Value Acquisition,SVACU,UBS Investment Bank/ Stifel/ Cowen,9-10-20,$10.00,$10.00,$10.00,0.00%
Broadstone Acquisition,BSN.U,Citigroup,9-11-20,$10.00,$9.60,$9.84,-4.00%
Ribbit LEAP,LEAP.U,JPMorgan,9-11-20,$10.00,$11.55,$11.20,15.53%
Tortoise Acquisition Corp. II,SNPR.U,Barclays/ Goldman Sachs,9-11-20,$10.00,$10.51,$10.35,5.10%
TWC Tech Holdings II,TWCTU,Citigroup/ Deutsche Bank Securities,9-11-20,$10.00,$10.07,$10.08,0.70%
MMTEC,MTC,WestPark Capital,1-8-19,$4.00,$7.55,$5.91,88.75%
Andina Acquisition Corp. III,ANDAU,Cowen/ Craig-Hallum Capital Group,1-29-19,$10.00,$10.01,$10.00,0.10%
PIMCO Energy & Tactical Credit Opportunities Fund,NRGX,UBS Investment Bank/ BofA Merrill Lynch/ Morgan Stanley/ Wells Fargo Securities/ RBC Capital Markets/ Stifel,1-30-19,$20.00,$20.20,$20.00,1.00%
New Fortress Energy,NFE,Morgan Stanley/ Barclays,1-31-19,$14.00,$13.07,$13.25,-6.64%
Pivotal Acquisition,PVT.U,Cantor,1-31-19,$10.00,$10.10,$10.05,1.00%
Gores Metropoulos,GMHIU,Deutsche Bank Securities/ Credit Suisse/ Goldman Sachs,2-1-19,$10.00,$10.12,$10.14,1.20%
Wealthbridge Acquisition,HHHHU,Chardan,2-6-19,$10.00,$10.01,$10.01,0.10%
Alector,ALEC,Morgan Stanley/ BofA Merrill Lynch/ Cowen/ Barclays,2-7-19,$19.00,$18.00,$18.70,-5.26%
Monocle Acquisition,MNCLU,Cowen/ Chardan,2-7-19,$10.00,$10.01,$10.00,0.10%
Gossamer Bio,GOSS,BofA Merrill Lynch/ Leerink Partners/ Barclays/ Evercore ISI,2-8-19,$16.00,$17.94,$19.00,12.13%
Harpoon Therapeutics,HARP,Citigroup/ Leerink Partners,2-8-19,$14.00,$13.50,$14.00,-3.57%
RMG Acquisition,RMG.U,Deutsche Bank Securities,2-8-19,$10.00,$10.00,$10.01,0.00%
IMAC Holdings,IMAC/IMACW,Dawson James Securities/ Cuttone,2-13-19,5,$4.18,$3.91,-16.40%
Avedro,AVDR,BofA Merrill Lynch/ J.P. Morgan,2-14-19,$14.00,$12.29,$11.60,-12.21%
TCR2 Therapeutic,TCRR,Jefferies/ Leerink Partners/ BMO Capital Markets,2-24-19,$15.00,$15.07,$15.15,0.47%
Hoth Therapeutics,HOTH,Laidlaw & Company (UK) Ltd.,2-15-19,$5.60,$8.53,$6.90,52.32%
Stealth BioTherapeutics,MITO,Jefferies/ Evercore ISI/ BMO Capital Markets,2-15-19,$12.00,$11.90,$12.10,-0.83%
Acamar Partners Acquisition,ACAMU,Goldman Sachs/ Deutsche Bank Securities,2-22-19,$10.00,$10.00,$10.02,0.00%
Super League Gaming,SLGG,Northland Capital/ Markets Lake Street,2-26-19,$11.00,$8.50,$11.00,-22.73%
DiamondPeak Holdings,DPHCU,Deutsche Bank Securities,2-28-19,$10.00,$10.00,$10.00,0.00%
Kaleido Biosciences,KLDO,Goldman Sachs/ J.P. Morgan/ Morgan Stanley,2-28-19,$15.00,$14.23,$12.80,-5.13%
Tortoise Acquisition,SHLLU,Barclays/ Goldman Sachs/ UBS Investment Bank,2-28-19,$10.00,$10.00,$10.02,0.00%
Hennessy Capital Acquisition,HCACU,Nomura/ Stifel,3-1-19,$10.00,$10.02,$10.00,0.20%
Tuscan Holdings,THCBU,EarlyBirdCapital,3-5-19,$10.00,$10.13,$10.10,1.30%
ShockWave Medical,SWAV,Morgan Stanley/ BofA Merrill Lynch,3-7-19,$17.00,$30.50,$24.80,79.41%
Crescent Acquisition,CRSAU,Credit Suisse/ BofA Merrill Lynch,3-8-19,$10.00,$10.00,$10.00,0.00%
Futu Holdings Limited,FUTU,Goldman Sachs (Asia)/ UBS Investment Bank/ Credit Suisse,3-8-19,$12.00,$15.32,$14.76,27.67%
Trine Acquisition,TRNEU,BTIG/ Cantor,3-14-19,$10.00,$10.00,$10.00,0.00%
Insurance Acquisition,INSUU,Cantor,3-20-19,$10.00,$10.10,$10.10,1.00%
UP Fintech Holding Limited,TIGR,Citigroup/ Deutsche Bank Securities,3-20-19,$8.00,$10.92,$8.10,36.50%
Levi Strauss,LEVI,Goldman Sachs/ J.P. Morgan,3-21-19,$17.00,$22.41,$22.22,31.82%
8i Enterprises Acquisition,JFKKU,Chardan,3-25-19,$10.00,$10.03,$10.05,0.30%
Precision BioSciences,DTIL,J.P. Morgan/ Goldman Sachs/ Jefferies/ Barclays,3-28-19,$16.00,$17.44,$18.00,9.00%
Lyft,LYFT,J.P. Morgan/ Credit Suisse/ Jefferies,3-29-19,$72.00,$78.29,$87.24,8.74%
Powerbridge Technologies,PBTS,Maxim Group/ The Benchmark Company,4-2-19,$5.00,$5.21,$5.50,4.20%
Ruhnn Holding,RUHN,Citigroup/ UBS Investment Bank,4-3-19,$12.50,$7.85,$12.50,-37.20%
NGM Biopharmaceuticals,NGM,Goldman Sachs/ Citigroup/ Cowen,4-4-19,$16.00,$14.70,$15.00,-8.13%
Replay Acquisition,RPLA.U,Credit Suisse/ BofA Merrill Lynch,4-4-19,$10.00,$10.05,$10.00,0.50%
Silk Road Medical,SILK,J.P. Morgan/ BofA Merrill Lynch,4-4-19,$20.00,$36.18,$33.15,80.90%
Tradeweb Markets,TW,J.P. Morgan/ Citigroup/ Goldman Sachs/ Morgan Stanley​,4-4-19,$27.00,$35.81,$34.26,32.63%
Guardion Health Sciences,GHSI,WallachBeth Capital,4-5-19,$4.00,$3.68,$3.80,-8.00%
B. Riley Principal Merger,BRPM.U,B. Riley FBR,4-9-19,$10.00,$10.00,$10.00,0.00%
PagerDuty,PD,Morgan Stanley/ J.P. Morgan Securities/ RBC Capital Markets/Allen,4-11-19,$24.00,$38.25,$36.75,59.38%
Tufin Software Technologies,TUFN,J.P. Morgan/ Barclays Capital/ Jefferies,4-11-19,$14.00,$19.10,$18.05,36.43%
Jumia,JMIA,Morgan Stanley/ Citigroup/ Berenberg/ RBC Capital Markets,4-12-19,$14.50,$25.46,$18.95,75.59%
Palomar Holdings,PLMR,"Barclays/ J.P. Morgan/ Keefe, Woods & Bruyette (A Stifel Company)",4-17-19,$15.00,$18.99,$18.50,26.60%
Turning Point Therapeutics,TPTX,Goldman Sachs/ SVB Leerink/ Wells Fargo Securities,4-17-19,$18.00,$28.90,$24.25,60.56%
Brigham Minerals,MNRL,Credit Suiss/ Goldman Sachs/ Barclays/ RBC Capital Markets/ UBS Investment Bank/ Wells Fargo Securities,4-18-19,$18.00,$19.92,$20.00,10.67%
Greenlane Holdings,GNLN,Cowen/Canaccord Genuity,4-18-19,$17.00,$21.10,$29.00,24.12%
HOOKIPA Pharma,HOOK,BofA Merrill Lynch/ SVB Leerink/ RBC Capital Markets,4-18-19,$14.00,$14.00,$14.30,0.00%
Pinterest,PINS,Goldman Sachs/ J.P. Morgan/ Allen & Company,4-18-19,$19.00,$24.40,$23.50,28.42%
Zoom Video Communications,ZM,Morgan Stanley/ J. P. Morgan/ Goldman Sachs/ Credit Suisse,4-18-19,$36.00,$62.00,$65.00,72.22%
Act II Global Acquisition,ACTTU,Cantor,4-26-19,$10.00,$10.10,$10.10,1.00%
Beyond Meat,BYND,Goldman Sachs/ J.P. Morgan/ Credit Suisse,5-2-19,$25.00,$65.75,$46.00,163.00%
So-Young International,SY,Deutsche Bank Securities/ CICC,5-2-19,$13.80,$18.20,$16.50,31.88%
TransMedics Group,TMDX,Morgan Stanley/ J.P. Morgan,5-2-19,$16.00,$22.36,$20.26,39.75%
Red River Bancshares,RRBI,FIG Partners/ Stephens,5-3-19,$45.00,$50.25,$55.00,11.67%
SciPlay,SCPL,BofA Merrill Lynch/ J.P. Morgan/ Deutsche Bank Securities,5-3-19,$16.00,$15.25,$18.00,-4.69%
Yunji,YJ,Morgan Stanley/ Credit Suisse/ J.P. Morgan/ CICC,5-3-19,$11.00,$14.15,$13.42,28.64%
Landcadia Holdings II,LCAHU,Jefferies,5-7-19,$10.00,$10.03,$10.05,0.30%
