Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Invesco Mortgage Capital,IVR,Credit Suisse/Morgan Stanley,6-26-09,$20.00,$19.42,$19.80,-2.90%
LogMeIn,LOGM,JPMorgan/Barclay Capital,7-1-09,$16.00,$20.02,$20.00,25.13%
PennyMac Investment Trust,PMT,Merrill Lynch/ Credit Suisse/ Deutsche Bank Securities,7-30-09,$20.00,$19.10,$19.00,-4.50%
Emdeon,EM,Morgan Stanley,8-1-09,$15.00,$16.52,$17.50,10.13%
CDC Software,CDCS,Lazard Capital Markets/JMP Securities,8-6-09,$12.00,$9.99,$12.00,-16.75%
Avago Technologies,AVGO,Deutsche Bank Securities/ Barclays Capital/ Morgan Stanley/ Citi,8-6-09,$15.00,$16.18,$16.20,7.87%
Cumberland Pharmaceuticals,CPIX,UBS Investment Bank/Jefferies/ Wachovia Securities,8-10-09,$17.00,$16.83,$17.75,-1.00%
Starwood Property Trust,STWD,BofA Merrill Lynch/Deuteche Bank,8-11-09,$20.00,$20.00,$19.50,0.00%
CreXus Investment,CXS,Deutsche Bank/Merrill Lynch,9-16-09,$15.00,$14.63,$14.50,-2.47%
Vitacost.com,VITC,Jefferies/Oppenheimer,9-24-09,$12.00,$12.05,$12.05,0.42%
Colony Financial,CLNY,BofA Merrill Lynch/Goldman Sachs/Morgan Stanley/UBS Investment Bank,9-24-09,$20.00,$19.66,$19.50,-1.70%
A123 Systems,AONE,Morgan Stanley/Goldman Sachs,9-24-09,$13.50,$20.29,$16.94,50.30%
Apollo Commerical Real Estate,ARI,J.P. Morgan/Citi/Barclays Capial,9-24-09,$20.00,$18.50,$19.05,-7.50%
Artio Global Investors,ART,Goldman Sachs,9-24-09,$26.00,$28.10,$27.30,8.08%
Shanda Games Limited,GAME,Goldman Sachs (Asia)/J.P. Morgan,9-25-09,$12.50,$10.75,$12.50,-14.00%
Select Medical Holdings,SEM,Goldman Sachs/ Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,9-25-09,$10.00,$10.09,$9.75,0.90%
Talecris BioTherapeutics,TLCR,Morgan Stanley/Goldman Sachs/Citi/JPMorgan,10-1-09,$19.00,$21.15,$19.50,11.32%
Echo Global Logitcs,ECHO,Morgan Stanley/ Citi,10-2-09,$14.00,$14.06,$13.60,0.43%
Education Management Corporation,EDMC,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch/Barclays Capital/Credit Suisse/Morgan Stanley,10-2-09,$18.00,$21.77,$20.25,20.94%
Banco Santander,BSBR,Santander/ Credit Suisse/ BofA Merrill Lynch/ UBS Investment Bank,10-7-09,$13.40,$13.01,$13.30,-2.93%
Verisk Analytics,VRSK,BofA Merrill Lynch/Morgan Stanley,10-7-09,$22.00,$27.22,$26.41,23.73%
Mistras Group,MG,J.P. Morghan/Credit Suisse.BofA Merrill Lynch,10-8-09,$12.50,$12.53,$12.30,0.24%
Omeros,OMER,Deutsche Bank Securities,10-8-09,$10.00,$8.73,$9.49,-12.70%
RailAmerica,RA,JPMorgan/Citi/Deutsche Bank/Morgan Stanley,10-13-09,$15.00,$13.75,$14.35,-8.33%
China Real Estate Information,CRIC,Credit Suisse/UBS Investment Bank,10-16-09,$12.00,$14.20,$12.28,18.33%
ZST Digital Networks,ZSTN,Rodman & Renshaw/WestPark Capital,10-20-09,$8.00,$7.52,$8.00,-6.00%
AGA Medical Holdings,AGAM,BofA Merrill Lynch,10-21-09,$14.50,$14.60,$14.50,0.69%
Dole Foods,DOLE,Goldman Sachs/BofA Merrill Lynch/ Deutsche Bank/Wells Fargo,10-23-09,$12.50,$12.28,$12.45,-1.76%
Addus HomeCare,ADUS,William Baird/Oppenheimer,10-28-09,$10.00,$8.49,$9.40,-15.10%
Vitamin Shoppe,VSI,J.P. Morgan/BofA Merrill Lynch/Barclays Capital,10-28-09,$17.00,$17.95,$19.50,5.59%
Hyatt Hotels,H,Goldman Sachs,11-5-09,$25.00,$28.00,$26.00,12.00%
Ancestry.com,ACOM,Morgan Stanly/BofA Merrill Lynch,11-5-09,$13.50,$14.20,$16.10,5.19%
Duyuan Printing,DYP,Piper Jaffray/Roth Capital Partners,11-6-09,$8.50,$7.77,$8.50,-8.59%
STR Holdings,STRI,Credit Suisse/Goldman Sachs,11-6-09,$10.00,$13.10,$10.00,31.00%
Dollar General,DG,Citi/Goldman Sachs/KKR/BofA Merrill Lynch/J.P. Morgan,11-13-09,$21.00,$22.73,$22.00,8.24%
rue21,rue,BofA Merrill Lynch/Goldman Sachs/J.P. Morgan,11-13-09,$19.00,$24.30,$23.00,27.89%
Fortinet,FTNT,Morgan Stanley/J.P. Morgan/Deutsche Bank,11-18-09,$12.50,$16.62,$17.00,32.96%
Archipelago Learning,ARCL,BofA Merrill Lynch/Wm Blair,11-20-09,$16.50,$18.77,$19.00,13.76%
Cloud Peak Energy,CLD,Credit Suisse/Morgan Stanley/RBC Capital Markets,11-20-09,$15.00,$14.84,$14.50,-1.07%
Global Defense Technology & Systems,GTEC,Cowen,11-20-09,$13.00,$13.08,$13.05,0.62%
7 Days Group Holdings,SVN,J.P.  Morgan/Citi,11-20-09,$11.00,$12.50,$12.17,13.64%
GSME Acquisiton Partners,GSMEF,Cohen,11-27-09,$10.00,$10.00,$10.00,0.00%
Pebblebrook Hotel Trust,PEB,BofA Merrill Lynch/Raymond James/Wells Fargo,12-9-09,$20.00,$20.45,$20.00,2.25%
China Nuokang Bio-Phrmaceutical,NKBP,Jefferirs,12-10-09,$9.00,$8.67,$8.00,-3.67%
Concord Medical Services Holdings,CCM,Morgan Stanley/JPMorgan/CICC,12-11-09,$11.00,$9.50,$10.00,-13.64%
KAR Holdings,KAR,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan,12-11-09,$12.00,$12.03,$11.00,0.25%
Cobalt International Energy,CIE,Credit Suisse/Goldman Sachs/J.P. Morgan,12-16-09,$13.50,$13.50,$13.25,0.00%
Team Health Holdings,TMH,"BofA Merrill Lynch/ Goldman, Sachs/ Barclays Capital/ Citi",12-16-09,$12.00,$12.81,$12.00,6.75%
Kraton Performance Polymers,KRA,Credit Suisse,12-17-09,$13.50,$13.51,$13.50,0.07%
Polaris Acquisition,TKP-U,Lazard Capital Markets/Ladenburg Thalmann,1-14-08,$10.00,$10.00,$10.00,0.00%
Asia Special Situation Acquisition,CIO-U,Maxin Group,1-16-08,$10.00,$10.00,$10.00,0.00%
Williams Pipeline Partners L.P.,WMZ,Lehman Brothers/Citi/Merrill Lynch,1-17-08,$20.00,$20.00,$20.50,0.00%
Sapphire Industrials,FYR-U,Citi,1-17-08,$10.00,$9.98,$10.00,-0.20%
Sports Properties Acquisition,HMR-U,Banc of America,1-17-08,$10.00,$10.00,$10.00,0.00%
Trian Acquisition I,TUX-U,Deutsche Bank/Merrill Lynch,1-23-08,$10.00,$10.04,$10.00,0.40%
RiskMetrics Group,RMG,Credit Suisse/Goldman Sachs/Banc of America,1-24-08,$17.50,$23.75,$21.00,35.71%
IPC The Hospitalist Company,IPCM,Credit Suisse/Jefferies,1-24-08,$16.00,$20.48,$20.15,28.00%
Atlas AcquisitionHoldings,AXG-U,Lazard Capital Markets/Morgan Stanley,1-25-08,$10.00,$9.95,$10.00,-0.50%
ATA,ATAI,Merrill Lynch ,1-28-08,$9.50,$8.75,$9.50,-7.89%
