Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
OMEG,Omega Alpha SPAC,Blank Check,2021-01-07,12.0,$10.00,$10.36,$10.04,0.40%,2020-12-28,2020-10-15,2021-04-17,0.06639701552055016,-0.025145089462765936
MRM,"MEDIROM Healthcare Technologies, Inc.",Consumer Services,2020-12-29,0.8,$15.00,$15.11,$9.00,-40.00%,2020-12-19,2020-10-06,2021-04-08,0.10695873321368315,-0.2554599433740872
IKT,Inhibikase Therapeutics,Health Care,2020-12-23,1.8,$10.00,$9.90,$5.03,-49.70%,2020-12-13,2020-09-30,2021-04-02,0.09379196159437224,-0.37070704453235376
MASS,908 Devices Inc.,Health Care,2020-12-18,6.5,$20.00,$49.00,$51.03,155.15%,2020-12-08,2020-09-25,2021-03-28,0.12277547844339609,-0.12163263437699298
MDWT,Midwest Holding,Financials,2020-12-17,1.0,$70.00,$56.25,$45.80,-34.57%,2020-12-07,2020-09-24,2021-03-27,0.14327670884045648,-0.11070177847878974
VIRI,Virios Therapeutics,Health Care,2020-12-17,3.0,$10.00,$16.71,$5.17,-48.30%,2020-12-07,2020-09-24,2021-03-27,0.14327670884045648,-0.6828246271024782
BCAB,"BioAtla, Inc.",Health Care,2020-12-16,10.5,$18.00,$31.02,$48.52,169.56%,2020-12-06,2020-09-23,2021-03-26,0.146324008180663,0.9577691375254913
WISH,ContextLogic Inc. (Wish),Consumer Goods,2020-12-16,46.0,$24.00,$20.05,$12.07,-49.71%,2020-12-06,2020-09-23,2021-03-26,0.146324008180663,-0.2139650459561639
UPST,Upstart Holdings,Financials,2020-12-16,12.0,$20.00,$29.47,$100.61,403.05%,2020-12-06,2020-09-23,2021-03-26,0.146324008180663,3.1985071679613055
OCG,Oriental Culture Holding LTD.,Consumer Services,2020-12-15,5.1,$4.00,$6.00,$5.45,36.25%,2020-12-05,2020-09-22,2021-03-25,0.11973969092336519,0.5666666030883789
WNW,Wunong Net Technology Company Limited,Consumer Services,2020-12-15,6.0,$5.00,$12.05,$8.21,64.20%,2020-12-05,2020-09-22,2021-03-25,0.11973969092336519,-0.17759338667630736
FDMT,4D Molecular Therapeutics,Health Care,2020-12-11,8.4,$23.00,$40.50,$31.93,38.83%,2020-12-01,2020-09-18,2021-03-21,0.09499487006672505,0.07851852605372299
ABCL,AbCellera Biologics,Health Care,2020-12-11,24.2,$20.00,$58.90,$29.06,45.30%,2020-12-01,2020-09-18,2021-03-21,0.09499487006672505,-0.4702886255574866
CERT,Certara,Technology,2020-12-11,29.1,$23.00,$38.09,$27.33,18.83%,2020-12-01,2020-09-18,2021-03-21,0.09499487006672505,-0.18750002504396718
VVOS,Vivos Therapeutics,Health Care,2020-12-11,3.5,$6.00,$8.99,$7.67,27.83%,2020-12-01,2020-09-18,2021-03-21,0.09499487006672505,-0.22691880019917898
ABNB,"Airbnb, Inc.",Consumer Services,2020-12-10,51.6,$68.00,$144.71,$167.07,145.69%,2020-11-30,2020-09-17,2021-03-20,0.08720169018672269,0.34330723772277005
HYFM,"Hydrofarm Holdings Group, Inc.",Consumer Goods,2020-12-10,8.7,$20.00,$51.99,$59.54,197.70%,2020-11-30,2020-09-17,2021-03-20,0.08720169018672269,0.21754178098590293
AI,C3.ai,Technology,2020-12-09,15.5,$42.00,$92.49,$66.51,58.36%,2020-11-29,2020-09-16,2021-03-19,0.07763955510272211,-0.1803438284185508
DASH,"DoorDash, Inc.",Consumer Services,2020-12-09,33.0,$102.00,$189.51,$144.35,41.52%,2020-11-29,2020-09-16,2021-03-19,0.07763955510272211,-0.31074877893853864
PUBM,PubMatic,Technology,2020-12-09,5.9,$20.00,$29.45,$46.62,133.10%,2020-11-29,2020-09-16,2021-03-19,0.07763955510272211,0.5989812880360604
YQ,17 Education & Technology Group,Consumer Services,2020-12-04,27.4,$10.50,$10.58,$6.23,-40.67%,2020-11-24,2020-09-11,2021-03-14,0.07433059381254735,0.05581836987912065
SEER,"Seer, Inc.",Health Care,2020-12-04,9.2,$19.00,$56.46,$50.65,166.58%,2020-11-24,2020-09-11,2021-03-14,0.07433059381254735,-0.09635137645981764
SGTX,"Sigilon Therapeutics, Inc.",Health Care,2020-12-04,7.0,$18.00,$34.78,$16.00,-11.11%,2020-11-24,2020-09-11,2021-03-14,0.07433059381254735,-0.16187462214972567
SBTX,"Silverback Therapeutics, Inc.",Health Care,2020-12-04,11.5,$21.00,$0.00,$38.13,81.57%,2020-11-24,2020-09-11,2021-03-14,0.07433059381254735,1.2203999328613282
KNTE,Kinnate BioPharma Inc.,Health Care,2020-12-03,12.0,$20.00,$39.03,$26.91,34.55%,2020-11-23,2020-09-10,2021-03-13,0.06847270123205762,-0.06738399527732059
OZON,Ozon Holdings PLC,Consumer Goods,2020-11-24,33.0,$30.00,$40.18,$59.88,99.60%,2020-11-14,2020-09-01,2021-03-04,0.019663872529070623,0.5444758418957042
VMAR,Vision Marine Technologies,Consumer Goods,2020-11-24,2.4,$10.00,$14.44,$6.07,-39.30%,2020-11-14,2020-09-01,2021-03-04,0.019663872529070623,-0.2915512576514369
MRVI,Maravai LifeSciences Holdings,Health Care,2020-11-20,60.0,$27.00,$29.85,$35.49,31.44%,2020-11-10,2020-08-28,2021-02-28,0.01540098510399709,0.08944723759371967
SHC,Sotera Health Company,Health Care,2020-11-20,46.6,$23.00,$0.00,$25.29,9.96%,2020-11-10,2020-08-28,2021-02-28,0.01540098510399709,0.0418326382909427
NGMS,NeoGames S.A.,Consumer Services,2020-11-19,4.8,$17.00,$21.87,$38.18,124.59%,2020-11-09,2020-08-27,2021-02-27,0.009277588312520312,0.3868312190137621
OLMA,Olema Pharmaceuticals,Health Care,2020-11-19,11.0,$19.00,$49.00,$33.55,76.58%,2020-11-09,2020-08-27,2021-02-27,0.009277588312520312,-0.1853061598174426
YSG,Yatsen Holding Limited,Consumer Goods,2020-11-19,58.8,$10.50,$18.40,$9.80,-6.67%,2020-11-09,2020-08-27,2021-02-27,0.009277588312520312,-0.047282551626175416
AVIR,Atea Pharmaceuticals,Health Care,2020-10-30,12.5,$24.00,$30.34,$42.34,76.42%,2020-10-20,2020-08-07,2021-02-07,0.026329309991135218,1.8365193515417022
LU,Lufax Holding Ltd,Financials,2020-10-30,175.0,$13.50,$12.85,$13.17,-2.44%,2020-10-20,2020-08-07,2021-02-07,0.026329309991135218,0.35019454213318163
