Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"Amplitude, Inc.",AMPL,Technology,9/28/2021,35.4,$50.00,$54.80,$18.82,-62.36%
"Clearwater Analytics Holdings, Inc.",CWAN,Technology,9/24/2021,30,$18.00,$25.37,$17.63,-2.06%
Cue Health Inc.,HLTH,Health Care,9/24/2021,12.5,$16.00,$20.00,$6.56,-59.00%
Argo Blockchain Plc,ARBK,Technology,9/23/2021,7.5,$15.00,$16.75,$8.50,-43.33%
"Brilliant Earth Group, Inc.",BRLT,Industrials,9/23/2021,8.3,$12.00,$17.12,$7.89,-34.25%
"ENGAGESMART, INC.",ESMT,Technology,9/23/2021,14.6,$26.00,$34.12,$20.05,-22.88%
"Remitly Global, Inc.",RELY,Technology,9/23/2021,12.2,$43.00,$48.45,$9.93,-76.91%
"Sovos Brands, Inc.",SOVO,Industrials,9/23/2021,23.3,$12.00,$13.52,$15.30,27.50%
Sterling Check Corp.,STER,Technology,9/23/2021,14.3,$23.00,$26.90,$25.36,10.26%
Thorne HealthTech,THRN,Consumer Goods,9/23/2021,7,$10.00,$7.55,$6.17,-38.30%
a.k.a. Brands Holding Corp.,AKA,Consumer Goods,9/22/2021,10,$11.00,$9.99,$3.79,-65.55%
Freshworks,FRSH,Technology,9/22/2021,28.5,$36.00,$47.55,$17.78,-50.61%
"Toast, Inc.",TOST,Technology,9/22/2021,21.7,$40.00,$62.51,$18.80,-53.00%
VersaBank,VBNK,Financials,9/22/2021,5.5,$10.00,$10.50,$10.83,8.30%
"Enact Holdings, Inc. (formerly Genworth Mortgage Holdings, Inc.)",ACT,Financials,9/16/2021,13.3,$19.00,$20.49,$23.24,22.32%
"ForgeRock, Inc.",FORG,Technology,9/16/2021,11,$25.00,$36.50,$19.96,-20.16%
Aesther Healthcare Acquisition Corp.,AEHAU,Blank Check,9/15/2021,10,$10.00,$10.06,$10.25,2.50%
Definitive Healthcare Corp.,DH,Technology,9/15/2021,15.6,$27.00,$43.29,$23.96,-11.26%
"DICE Therapeutics, Inc.",DICE,Health Care,9/15/2021,12,$17.00,$36.89,$21.52,26.59%
Dutch Bros Inc.,BROS,Consumer Goods,9/15/2021,21.1,$23.00,$36.68,$51.19,122.57%
"EzFill Holdings, Inc.",EZFL,Consumer Services,9/15/2021,6.3,$4.00,$4.54,$0.86,-78.50%
On Holding AG,ONON,Industrials,9/15/2021,31.1,$24.00,$35.00,$26.01,8.38%
PROCEPT BioRobotics,PRCT,Health Care,9/15/2021,6.6,$25.00,$41.94,$34.39,37.56%
Thoughtworks Holding Inc. (Turing Holding),TWKS,Technology,9/15/2021,36.8,$21.00,$29.39,$19.56,-6.86%
Tyra Biosciences,TYRA,Health Care,9/15/2021,10.8,$16.00,$26.00,$8.45,-47.19%
Sportradar Group AG,SRAD,Technology,9/14/2021,19,$27.00,$25.05,$13.19,-51.15%
DoubleDown Interactive,DDI,Technology,8/31/2021,6.3,$18.00,$17.75,$11.03,-38.72%
Focus Universal Inc.,FCUV,Technology,8/31/2021,2,$5.00,$5.10,$13.14,162.80%
"Biotricity, Inc.",BTCY,Health Care,8/26/2021,5,$3.00,$2.91,$1.64,-45.33%
authID.ai (IPSIDY INC.),AUID,Technology,8/24/2021,1.4,$7.00,$7.40,$3.48,-50.29%
"Southern States Bancshares, Inc.",SSBK,Financials,8/12/2021,2,$19.00,$19.77,$22.95,20.79%
Eliem Therapeutics,ELYM,Health Care,8/10/2021,6.4,$12.50,$15.90,$6.51,-47.92%
Adagio Therapeutics,ADGI,Health Care,8/6/2021,18.2,$17.00,$20.88,$2.95,-82.65%
"European Wax Center, Inc.",EWCZ,Consumer Services,8/5/2021,10.6,$17.00,$21.39,$25.06,47.41%
Orange County Bancorp,OBT,Financials,8/5/2021,1,$33.50,$34.10,$39.00,16.42%
Weber Inc.,WEBR,Industrials,8/5/2021,17.9,$14.00,$16.50,$9.49,-32.21%
Dole plc,DOLE,Consumer Goods,7/30/2021,25,$16.00,$14.50,$12.47,-22.06%
Immuneering Corp.,IMRX,Health Care,7/30/2021,7.5,$15.00,$17.59,$5.89,-60.73%
"IN8bio, INC.",INAB,Health Care,7/30/2021,4,$10.00,$10.00,$3.62,-63.80%
Omega Therapeutics,OMGA,Health Care,7/30/2021,7.4,$17.00,$16.00,$4.51,-73.47%
Rani Therapeutics Holdings,RANI,Health Care,7/30/2021,6.7,$11.00,$11.00,$13.12,19.27%
RxSight,RXST,Health Care,7/30/2021,7.4,$16.00,$16.00,$12.01,-24.94%
"Tenaya Therapeutics, Inc.",TNYA,Health Care,7/30/2021,12,$15.00,$15.35,$10.23,-31.80%
"Icosavax, Inc.",ICVX,Health Care,7/29/2021,12.1,$15.00,$34.97,$8.83,-41.13%
Metals Acquisition Corp,MTAL.U,Blank Check,7/29/2021,25,$10.00,$9.83,$9.83,-1.70%
"Nuvalent, Inc.",NUVL,Health Care,7/29/2021,9.8,$17.00,$18.75,$10.88,-36.00%
Rallybio Corp.,RLYB,Health Care,7/29/2021,6.2,$13.00,$14.10,$10.11,-22.23%
Riskified Ltd.,RSKD,Technology,7/29/2021,17.5,$21.00,$26.00,$5.30,-74.76%
Software Acquisition Group Inc. III,SWAGU,Blank Check,7/29/2021,20,$10.00,$10.00,$10.14,1.40%
Traeger Inc. (TGPX Holdings I LLC),COOK,Industrials,7/29/2021,23.5,$18.00,$22.00,$6.47,-64.06%
DA32 Life Science Tech Acquisition,DALS,Blank Check,7/28/2021,20,$10.00,$9.84,$9.80,-2.00%
"Duolingo, Inc.",DUOL,Technology,7/28/2021,5.1,$102.00,$139.01,$86.00,-15.69%
"MeridianLink, Inc.",MLNK,Technology,7/28/2021,13.2,$26.00,$24.60,$17.27,-33.58%
"PowerSchool Holdings, Inc.",PWSC,Technology,7/28/2021,39.5,$18.00,$18.00,$14.40,-20.00%
Snap One Holdings Corp.,SNPO,Industrials,7/28/2021,13.9,$18.00,$16.55,$12.66,-29.67%
Candel Therapeutics,CADL,Health Care,7/27/2021,9,$8.00,$7.00,$4.88,-39.00%
Caribou Biosciences,CRBU,Health Care,7/23/2021,19,$16.00,$16.32,$7.79,-51.31%
"Core & Main, Inc.",CNM,Industrials,7/23/2021,34.9,$20.00,$23.70,$24.41,22.05%
Cytek BioSciences,CTKB,Health Care,7/23/2021,16.8,$17.00,$18.76,$9.43,-44.53%
Gambling.com Group Limited,GAMB,Consumer Services,7/23/2021,5.3,$8.00,$8.00,$7.75,-3.13%
Outbrain Inc.,OB,Technology,7/23/2021,8,$20.00,$20.00,$9.94,-50.30%
SOPHiA GENETICS SA,SOPH,Health Care,7/23/2021,13,$18.00,$16.76,$7.78,-56.78%
U.S. Century Bank,USCB,Financials,7/23/2021,4,$10.00,$10.82,$14.00,40.00%
